Year,Month,Site,Sargassum,Proportion
2018,1,A,75,0.002
2018,5,A,1999,0.049
2018,6,A,3494,0.085
2018,7,A,3694,0.090
2018,8,A,1515,0.037
2018,9,A,13125,0.321
2018,10,A,3516,0.086
2018,11,A,4294,0.105
2018,12,A,4692,0.115
2018,2,A,2543,0.062
2018,3,A,667,0.016
2018,4,A,1320,0.032
2018,1,B,2060,0.092
2018,5,B,2349,0.105
2018,6,B,2559,0.115
2018,7,B,2030,0.091
2018,8,B,2465,0.111
2018,9,B,2094,0.094
2018,10,B,2661,0.119
2018,11,B,2500,0.112
2018,12,B,1336,0.060
2018,2,B,1020,0.046
2018,3,B,550,0.025
2018,4,B,676,0.030
2018,1,C,110,0.008
2018,5,C,426,0.030
2018,6,C,1158,0.081
2018,7,C,1213,0.084
2018,8,C,1437,0.100
2018,9,C,1807,0.126
2018,10,C,2058,0.143
2018,11,C,2641,0.184
2018,12,C,2564,0.178
2018,2,C,573,0.040
2018,3,C,109,0.008
2018,4,C,287,0.020
2018,1,D,300,0.020
2018,5,D,1160,0.079
2018,6,D,2925,0.199
2018,7,D,1075,0.073
2018,8,D,1155,0.079
2018,9,D,700,0.048
2018,10,D,1680,0.114
2018,11,D,2730,0.186
2018,12,D,1820,0.124
2018,2,D,490,0.033
2018,3,D,315,0.021
2018,4,D,350,0.024
2018,1,E,245,0.008
2018,5,E,2683,0.090
2018,6,E,3605,0.120
2018,7,E,2427,0.081
2018,8,E,4480,0.149
2018,9,E,4188,0.140
2018,10,E,1843,0.061
2018,11,E,2940,0.098
2018,12,E,4072,0.136
2018,2,E,1727,0.058
2018,3,E,607,0.020
2018,4,E,1155,0.039
2018,1,F,0,0.000
2018,5,F,908,0.057
2018,6,F,3897,0.245
2018,7,F,1589,0.100
2018,8,F,1608,0.101
2018,9,F,2459,0.154
2018,10,F,1003,0.063
2018,11,F,1532,0.096
2018,12,F,1438,0.090
2018,2,F,624,0.039
2018,3,F,435,0.027
2018,4,F,435,0.027
2018,1,G,387,0.022
2018,5,G,964,0.055
2018,6,G,2536,0.146
2018,7,G,1268,0.073
2018,8,G,1812,0.104
2018,9,G,2339,0.135
2018,10,G,1235,0.071
2018,11,G,2685,0.155
2018,12,G,2413,0.139
2018,2,G,972,0.056
2018,3,G,641,0.037
2018,4,G,124,0.007
2019,1,A,1275,0.021
2019,5,A,2518,0.042
2019,6,A,2150,0.036
2019,7,A,3205,0.054
2019,8,A,19470,0.325
2019,9,A,12568,0.210
2019,10,A,10396,0.174
2019,11,A,6308,0.105
2019,12,A,1488,0.025
2019,2,A,334,0.006
2019,3,A,19,0.000
2019,4,A,105,0.002
2019,1,B,979,0.074
2019,5,B,620,0.047
2019,6,B,762,0.058
2019,7,B,1392,0.105
2019,8,B,2993,0.227
2019,9,B,2207,0.167
2019,10,B,1696,0.128
2019,11,B,1528,0.116
2019,12,B,1034,0.078
2019,2,B,0,0.000
2019,3,B,0,0.000
2019,4,B,0,0.000
2019,1,C,402,0.057
2019,5,C,195,0.028
2019,6,C,407,0.058
2019,7,C,993,0.140
2019,8,C,1498,0.212
2019,9,C,1042,0.147
2019,10,C,1660,0.235
2019,11,C,602,0.085
2019,12,C,228,0.032
2019,2,C,0,0.000
2019,3,C,49,0.007
2019,4,C,0,0.000
2019,1,D,280,0.036
2019,5,D,280,0.036
2019,6,D,980,0.126
2019,7,D,2415,0.309
2019,8,D,1610,0.206
2019,9,D,1750,0.224
2019,10,D,350,0.045
2019,11,D,0,0.000
2019,12,D,140,0.018
2019,2,D,0,0.000
2019,3,D,0,0.000
2019,4,D,0,0.000
2019,1,E,898,0.035
2019,5,E,1400,0.054
2019,6,E,1318,0.051
2019,7,E,3698,0.142
2019,8,E,5507,0.212
2019,9,E,5390,0.207
2019,10,E,4760,0.183
2019,11,E,1377,0.053
2019,12,E,887,0.034
2019,2,E,770,0.030
2019,3,E,0,0.000
2019,4,E,0,0.000
2019,1,F,908,0.050
2019,5,F,1930,0.105
2019,6,F,473,0.026
2019,7,F,2686,0.147
2019,8,F,10443,0.571
2019,9,F,611,0.033
2019,10,F,351,0.019
2019,11,F,259,0.014
2019,12,F,643,0.035
2019,2,F,0,0.000
2019,3,F,0,0.000
2019,4,F,0,0.000
2019,1,G,601,0.036
2019,5,G,799,0.048
2019,6,G,1087,0.065
2019,7,G,1351,0.081
2019,8,G,4431,0.265
2019,9,G,4085,0.245
2019,10,G,2341,0.140
2019,11,G,1565,0.094
2019,12,G,445,0.027
2019,2,G,0,0.000
2019,3,G,0,0.000
2019,4,G,0,0.000
2018,1,Sea,0.001,0.004
2018,2,Sea,0.028,0.106
2018,3,Sea,0.036,0.136
2018,4,Sea,0.011,0.042
2018,5,Sea,0.031,0.117
2018,6,Sea,0.029,0.110
2018,7,Sea,0.032,0.121
2018,8,Sea,0.043,0.163
2018,9,Sea,0.041,0.155
2018,10,Sea,0.007,0.027
2018,11,Sea,0.003,0.011
2018,12,Sea,0.002,0.008
2019,13,Sea,0.012,0.062
2019,14,Sea,0.018,0.093
2019,15,Sea,0.007,0.036
2019,16,Sea,0.043,0.223
2019,17,Sea,0.03,0.155
2019,18,Sea,0.013,0.067
2019,19,Sea,0.052,0.269
2019,20,Sea,0.012,0.062
2019,21,Sea,0.006,0.031
2019,22,Sea,0,0.000
2019,23,Sea,0,0.000
2019,24,Sea,0,0.000
