Year,Month,Site,Sargassum,SST,InSituSar
2018,1,Sea,2975.06,26.86066818,3091
2018,2,Sea,54943.2,26.86420059,10928
2018,3,Sea,60974,27.23843384,19743
2018,4,Sea,18452.9,27.83327484,15615
2018,5,Sea,50949.7,28.61910248,13627
2018,6,Sea,26651.2,28.57039642,40062
2018,7,Sea,26557.2,28.98810959,16079
2018,8,Sea,55605.4,29.46299362,21658
2018,9,Sea,51499.6,29.85429955,21304
2018,10,Sea,14951.6,29.31324768,10124
2018,11,Sea,5608.77,28.68608475,3789
2018,12,Sea,8937.77,28.08150864,4961
2019,13,Sea,17299.6,27.31709671,6082
2019,14,Sea,22413.2,27.07600784,9295
2019,15,Sea,7285.45,27.27954865,8852
2019,16,Sea,36668,27.59271622,15290
2019,17,Sea,19246.3,28.1846199,62138
2019,18,Sea,10706.3,28.89743042,41507
2019,19,Sea,38307.2,29.00899506,33031
2019,20,Sea,12817.3,29.55261612,19506
2019,21,Sea,6715.34,30.37427521,6057
2019,22,Sea,122.778,30.08250999,1196
2019,23,Sea,177.893,29.16734695,84
2019,24,Sea,392.969,28.35741997,231
2018,1,EEZ,598.46,27.07396317,3091
2018,2,EEZ,8400.99,27.00150871,10928
2018,3,EEZ,14004.1,27.0135479,19743
2018,4,EEZ,35529.5,27.54526138,15615
2018,5,EEZ,66915.2,28.23424911,13627
2018,6,EEZ,68973.8,28.44927979,40062
2018,7,EEZ,71743.4,29.31899071,16079
2018,8,EEZ,65489,29.5500145,21658
2018,9,EEZ,28617.1,29.76983643,21304
2018,10,EEZ,12075.5,29.11566162,10124
2018,11,EEZ,8009.5,28.65354729,3789
2018,12,EEZ,14336.6,28.18895721,4961
2019,13,EEZ,23734.5,27.48940277,6082
2019,14,EEZ,25094.7,27.08088493,9295
2019,15,EEZ,14232.2,27.07493401,8852
2019,16,EEZ,46489,27.34444046,15290
2019,17,EEZ,34143.2,28.0183239,62138
2019,18,EEZ,35248,28.88022232,41507
2019,19,EEZ,49063.8,29.25894547,33031
2019,20,EEZ,13263,29.70867157,19506
2019,21,EEZ,6099.71,30.17815208,6057
2019,22,EEZ,646.379,29.77704239,1196
2019,23,EEZ,1649.97,29.02375221,84
2019,24,EEZ,2278.39,28.26670456,231
